Episode 235 done: steps = 202922, rewards = -21.0, consume time = 959.2988691329956s
Episode 236 done: steps = 203765, rewards = -20.0, consume time = 963.5299770832062s
Episode 237 done: steps = 204737, rewards = -21.0, consume time = 968.260133266449s
Episode 238 done: steps = 205639, rewards = -20.0, consume time = 972.6527462005615s
Episode 239 done: steps = 206498, rewards = -20.0, consume time = 976.9923510551453s
Episode 240 done: steps = 207322, rewards = -21.0, consume time = 981.1299352645874s
Episode 241 done: steps = 208105, rewards = -21.0, consume time = 984.9602251052856s
Episode 242 done: steps = 209044, rewards = -19.0, consume time = 989.727452993393s
Episode 243 done: steps = 209887, rewards = -20.0, consume time = 993.8578391075134s
Episode 244 done: steps = 210757, rewards = -20.0, consume time = 998.1834182739258s
Episode 245 done: steps = 211612, rewards = -21.0, consume time = 1002.3391251564026s
Episode 246 done: steps = 212450, rewards = -20.0, consume time = 1006.4839880466461s
Episode 247 done: steps = 213233, rewards = -21.0, consume time = 1010.3282041549683s
Episode 248 done: steps = 214159, rewards = -20.0, consume time = 1014.886803150177s
Episode 249 done: steps = 214972, rewards = -21.0, consume time = 1018.961590051651s
Episode 250 done: steps = 215824, rewards = -21.0, consume time = 1023.0527722835541s
Episode 251 done: steps = 216766, rewards = -21.0, consume time = 1027.5387952327728s
Episode 252 done: steps = 217609, rewards = -20.0, consume time = 1031.7066230773926s
Episode 253 done: steps = 218453, rewards = -20.0, consume time = 1035.7624020576477s
Episode 254 done: steps = 219247, rewards = -21.0, consume time = 1039.5781590938568s
Episode 255 done: steps = 220106, rewards = -20.0, consume time = 1043.851968050003s
Episode 256 done: steps = 220899, rewards = -21.0, consume time = 1047.836543083191s
Episode 257 done: steps = 221855, rewards = -20.0, consume time = 1052.5838632583618s
Episode 258 done: steps = 222681, rewards = -21.0, consume time = 1056.5659742355347s
Episode 259 done: steps = 223473, rewards = -21.0, consume time = 1060.533753156662s
Episode 260 done: steps = 224315, rewards = -20.0, consume time = 1064.785931110382s
Episode 261 done: steps = 225098, rewards = -21.0, consume time = 1068.6637291908264s
Episode 262 done: steps = 225941, rewards = -21.0, consume time = 1072.6788170337677s
Episode 263 done: steps = 226765, rewards = -21.0, consume time = 1076.829329252243s
Episode 264 done: steps = 227607, rewards = -20.0, consume time = 1081.0964653491974s
Episode 265 done: steps = 228399, rewards = -21.0, consume time = 1085.0735330581665s
Episode 266 done: steps = 229271, rewards = -20.0, consume time = 1089.3686022758484s
Episode 267 done: steps = 230064, rewards = -21.0, consume time = 1093.3903901576996s
Episode 268 done: steps = 230916, rewards = -21.0, consume time = 1097.5956449508667s
Episode 269 done: steps = 231740, rewards = -21.0, consume time = 1101.728993177414s
Episode 270 done: steps = 232620, rewards = -21.0, consume time = 1106.1986303329468s
Episode 271 done: steps = 233444, rewards = -21.0, consume time = 1110.2752871513367s
Episode 272 done: steps = 234227, rewards = -21.0, consume time = 1114.189931154251s
Episode 273 done: steps = 235065, rewards = -20.0, consume time = 1118.3419561386108s
Episode 274 done: steps = 235848, rewards = -21.0, consume time = 1122.2402172088623s
Episode 275 done: steps = 236686, rewards = -20.0, consume time = 1126.363596200943s
Episode 276 done: steps = 237506, rewards = -21.0, consume time = 1130.4531610012054s
Episode 277 done: steps = 238348, rewards = -20.0, consume time = 1134.500414133072s
Episode 278 done: steps = 239236, rewards = -21.0, consume time = 1138.8112971782684s
Episode 279 done: steps = 240074, rewards = -20.0, consume time = 1142.9163222312927s
Episode 280 done: steps = 240917, rewards = -20.0, consume time = 1147.1448001861572s
Episode 281 done: steps = 241709, rewards = -21.0, consume time = 1151.0324449539185s
Episode 282 done: steps = 242492, rewards = -21.0, consume time = 1154.9983291625977s
Episode 283 done: steps = 243330, rewards = -20.0, consume time = 1159.207682132721s
Episode 284 done: steps = 244154, rewards = -21.0, consume time = 1163.3018870353699s
Episode 285 done: steps = 244999, rewards = -21.0, consume time = 1167.3924989700317s
Episode 286 done: steps = 245837, rewards = -20.0, consume time = 1171.6002633571625s
Episode 287 done: steps = 246620, rewards = -21.0, consume time = 1175.538547039032s
Episode 288 done: steps = 247444, rewards = -21.0, consume time = 1179.5771112442017s
Episode 289 done: steps = 248236, rewards = -21.0, consume time = 1183.5869121551514s
Episode 290 done: steps = 249060, rewards = -21.0, consume time = 1187.6123521327972s
Episode 291 done: steps = 249902, rewards = -20.0, consume time = 1191.8838121891022s
Episode 292 done: steps = 250694, rewards = -21.0, consume time = 1195.799954175949s
Episode 293 done: steps = 251518, rewards = -21.0, consume time = 1199.8992021083832s
Episode 294 done: steps = 252389, rewards = -20.0, consume time = 1204.3357200622559s
Episode 295 done: steps = 253259, rewards = -20.0, consume time = 1208.7245409488678s
Episode 296 done: steps = 254053, rewards = -21.0, consume time = 1212.6959781646729s
Episode 297 done: steps = 255125, rewards = -20.0, consume time = 1217.979228258133s
Episode 298 done: steps = 255949, rewards = -21.0, consume time = 1222.0793390274048s
Episode 299 done: steps = 256792, rewards = -20.0, consume time = 1226.2490150928497s
Episode 300 done: steps = 257584, rewards = -21.0, consume time = 1230.2332122325897s
Episode 301 done: steps = 258482, rewards = -20.0, consume time = 1234.7139761447906s
Episode 302 done: steps = 259319, rewards = -20.0, consume time = 1239.0953800678253s
Episode 303 done: steps = 260218, rewards = -20.0, consume time = 1243.927580356598s
Episode 304 done: steps = 261060, rewards = -20.0, consume time = 1248.493803024292s
Episode 305 done: steps = 261880, rewards = -21.0, consume time = 1252.6991140842438s
Episode 306 done: steps = 262663, rewards = -21.0, consume time = 1256.5581912994385s
Episode 307 done: steps = 263455, rewards = -21.0, consume time = 1260.623556137085s
Episode 308 done: steps = 264416, rewards = -21.0, consume time = 1265.4631071090698s
Episode 309 done: steps = 265288, rewards = -20.0, consume time = 1269.8155961036682s
Episode 310 done: steps = 266108, rewards = -21.0, consume time = 1273.929386138916s
Episode 311 done: steps = 266891, rewards = -21.0, consume time = 1277.8768291473389s
Episode 312 done: steps = 267715, rewards = -21.0, consume time = 1282.0021891593933s
Episode 313 done: steps = 268553, rewards = -20.0, consume time = 1286.1462442874908s
Episode 314 done: steps = 269395, rewards = -20.0, consume time = 1290.3860301971436s
Episode 315 done: steps = 270349, rewards = -20.0, consume time = 1295.117525100708s
Episode 316 done: steps = 271191, rewards = -20.0, consume time = 1299.33584523201s
Episode 317 done: steps = 272029, rewards = -20.0, consume time = 1303.5482902526855s
Episode 318 done: steps = 272883, rewards = -21.0, consume time = 1307.8700449466705s
Episode 319 done: steps = 273781, rewards = -20.0, consume time = 1312.4847331047058s
Episode 320 done: steps = 274654, rewards = -21.0, consume time = 1316.7986240386963s
Episode 321 done: steps = 275478, rewards = -21.0, consume time = 1320.9269552230835s
Episode 322 done: steps = 276261, rewards = -21.0, consume time = 1324.8760161399841s
Episode 323 done: steps = 277099, rewards = -20.0, consume time = 1329.017370223999s
Episode 324 done: steps = 277923, rewards = -21.0, consume time = 1333.0693261623383s
Episode 325 done: steps = 278707, rewards = -21.0, consume time = 1336.908627986908s
Episode 326 done: steps = 279490, rewards = -21.0, consume time = 1340.8737223148346s
Episode 327 done: steps = 280314, rewards = -21.0, consume time = 1344.9559922218323s
Episode 328 done: steps = 281156, rewards = -20.0, consume time = 1349.1873993873596s
Episode 329 done: steps = 281980, rewards = -21.0, consume time = 1353.2920742034912s
Episode 330 done: steps = 282817, rewards = -20.0, consume time = 1357.4740161895752s
Episode 331 done: steps = 283641, rewards = -21.0, consume time = 1361.587788105011s
Episode 332 done: steps = 284465, rewards = -21.0, consume time = 1365.6291091442108s
Episode 333 done: steps = 285351, rewards = -21.0, consume time = 1370.045095205307s
Episode 334 done: steps = 286175, rewards = -21.0, consume time = 1374.1643311977386s
Episode 335 done: steps = 286958, rewards = -21.0, consume time = 1378.1975092887878s
Episode 336 done: steps = 287830, rewards = -20.0, consume time = 1382.6281192302704s
Episode 337 done: steps = 288612, rewards = -21.0, consume time = 1386.4991331100464s
Episode 338 done: steps = 289482, rewards = -20.0, consume time = 1390.9070851802826s
