Episode 132 done, steps = 32986, actions = [0:59/250 | 1:46/250 | 2:68/250 | 3:59/250 | 4:18/250 | ], loss = 64.24578094482422, rewards = -19.860627177701083, consume time = 2013.7311069965363s
Episode 133 done, steps = 33236, actions = [0:43/250 | 1:54/250 | 2:29/250 | 3:75/250 | 4:49/250 | ], loss = 63.42253875732422, rewards = -31.034482758621298, consume time = 2028.666808128357s
Episode 134 done, steps = 33486, actions = [0:24/250 | 1:50/250 | 2:51/250 | 3:110/250 | 4:15/250 | ], loss = 62.22075271606445, rewards = 133.00970873786753, consume time = 2043.4189250469208s
Episode 135 done, steps = 33736, actions = [0:15/250 | 1:58/250 | 2:27/250 | 3:44/250 | 4:106/250 | ], loss = 61.400638580322266, rewards = -37.10691823899422, consume time = 2058.7069749832153s
Episode 136 done, steps = 33986, actions = [0:25/250 | 1:30/250 | 2:50/250 | 3:51/250 | 4:94/250 | ], loss = 73.78461456298828, rewards = 9.965635738830473, consume time = 2073.829826116562s
Episode 137 done, steps = 34236, actions = [0:54/250 | 1:25/250 | 2:98/250 | 3:43/250 | 4:30/250 | ], loss = 63.494110107421875, rewards = -30.000000000000163, consume time = 2087.7495510578156s
Episode 138 done, steps = 34486, actions = [0:105/250 | 1:19/250 | 2:43/250 | 3:76/250 | 4:7/250 | ], loss = 70.31959533691406, rewards = -40.993788819876386, consume time = 2099.4450521469116s
Episode 139 done, steps = 34736, actions = [0:38/250 | 1:56/250 | 2:42/250 | 3:94/250 | 4:20/250 | ], loss = 70.55901336669922, rewards = -17.197452229299973, consume time = 2111.1266040802s
Episode 140 done, steps = 34986, actions = [0:36/250 | 1:20/250 | 2:70/250 | 3:41/250 | 4:83/250 | ], loss = 65.17704010009766, rewards = -16.3879598662214, consume time = 2122.6610610485077s
Episode 141 done, steps = 35236, actions = [0:21/250 | 1:97/250 | 2:19/250 | 3:44/250 | 4:69/250 | ], loss = 84.36925506591797, rewards = -25.000000000000707, consume time = 2134.736204147339s
